wave11	wave12	wave21	wave22	wave31	wave32	sign	species	reference
15700	15730	15860	15920	16090	16145	A	SiI1.59	(Rock15)
15830	15870	15870	15910	15910	15950	M	SiI1.59m	(Origlia+93)
16085	16140	16155	16275	16280	16340	A	CO1.62	(Rock15)
16145	16175	16175	16220	16255	16285	M	CO1.62m	(Origlia+93)
17000	17030	17045	17145	17145	17180	A	MgI1.71	(Rock15)
17085	17100	17100	17130	17130	17160	M	MgI1.71m	(Ivanov+04)
21000	21040	21040	21110	21110	21150	M	MgI2.11m	(Ivanov+04)
20907	20951	21639	21686	22873	22925	M	Brg2.16m	(Kleinmann,Hall96)
21910	21966	22040	22107	22125	22170	A	NaI2.21	(Frogel+01)
22140	22200	22040	22110	22330	22370	M	NaI2.21m	(Ali+95)
22012	22039	22041	22099	22100	22156	A	Na2.21	(LaBarbera+16)
20907	20951	22053	22101	22873	22925	M	NaI2.21m	(Kleinmann,Hall96)
22133	22176	22251	22332	22465	22560	A	FeIa	(Silva+08)
22133	22176	22369	22435	22465	22560	A	FeIb	(Silva+08)
22450	22560	22577	22692	22700	22720	A	CaI2.26	(Frogel+01)
22490	22530	22580	22690	22700	22740	M	CaI2.26m	(Ali+95)
20907	20951	22611	22662	22873	22925	M	CaI2.26k	(Kleinmann,Hall96)
22720	22780	22780	22832	22832	22882	M	MgI2.28i	(Ivanov+04)
22700	22740	22790	22850	22871	22901	M	MgI2.28a	(Ali+95)
22715	22755	22790	22850	22850	22874	A	MgI2.28	(Silva+08)
